שם ישוב,סמל ישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
גן השומרון,225,GAN HASHOMERON,3,32,324,14,,1,840,839,831,1,1934,310,10,2000870764,38,351,10004261,2018,Gan HaShomeron,
גן חיים,239,GAN HAYYIM,4,42,421,20,141,1,834,831,821,3,1935,310,1,1912867798,49,417,10002133,2018,Gan Hayyim,
גן יאשיה,734,GAN YOSHIYYA,4,41,412,16,141,1,990,990,975,,1949,310,1,1996469519,27,409,15000060,2018,Gan Yoshiyya,
גן יבנה,166,GAN YAVNE,4,44,441,99,143,1,23752,23683,22931,69,1931,160,,1724863297,29,429,10001821,2018,Gan Yavne,
גן נר,1274,GAN NER,2,23,232,8,,1,2704,2699,2635,5,1987,190,,2319971531,117,204,10004394,2018,Gan Ner,213
גן שורק,311,GAN SOREQ,4,44,442,27,143,1,688,688,684,,1950,310,1,1775365029,29,456,15002488,2018,Gan Soreq,
גן שלמה,144,GAN SHELOMO,4,44,441,28,143,1,572,572,528,,1927,330,15,1810764287,37,456,15002488,2018,Gan Shelomo,420
גן שמואל,72,GAN SHEMU'EL,3,32,324,14,,1,929,928,909,1,1913,330,15,1955870649,16,351,10004261,2018,Gan Shemu'el,
גנות,836,GANNOT,4,43,432,40,133,1,589,589,586,,1953,310,10,1839465836,23,425,10002207,2018,Gannot,
גנות הדר,549,GANNOT HADAR,4,41,411,18,141,1,960,960,950,,1964,350,,1908469191,41,412,15000060,2018,Gannot Hadar,
גני הדר,1103,GANNE HADAR,4,43,432,30,143,1,321,321,319,,1958,350,,1862764289,80,426,10002241,2018,Ganne Hadar,
גני טל,1371,GANNE TAL,4,44,441,31,143,1,802,802,802,,2010,370,2,1803963293,71,456,15002488,2018,Ganne Tal,420
גני יוחנן,862,GANNE YOHANAN,4,44,441,30,143,1,629,629,623,,1950,310,1,1848064064,52,426,10002241,2018,Ganne Yohanan,
גני מודיעין,3823,GANNE MODI'IN,7,74,,73,,1,2488,2488,2484,,1996,190,,2017564847,179,711,10004054,2018,Ganne Modi'in,
גני עם,218,GANNE AM,4,42,421,20,142,1,242,242,240,,1934,350,,1908667313,29,417,10002133,2018,Ganne Am,
גני תקווה,229,GANNE TIQWA,4,42,422,99,132,1,19263,19252,19001,11,1953,170,,1883666301,60,428,10001516,2018,Ganne Tiqwa,
געש,842,GA'ASH,4,41,411,19,141,1,763,763,750,,1951,330,15,1836668178,28,401,15000060,2018,Ga'ash,
געתון,463,GA'TON,2,24,243,4,,1,693,691,679,2,1948,330,15,2204176793,305,201,10004302,2018,Ga'ton,212
גפן,39,GEFEN,1,11,112,26,,1,405,405,401,,1955,310,2,1885762761,140,151,15000597,2018,Gefen,
גרופית,1129,GEROFIT,6,62,625,53,,1,248,246,235,2,1963,330,15,2059542802,97,608,10001955,2018,Gerofit,
גשור,4022,GESHUR,2,29,294,71,,1,283,283,272,,1971,330,15,2674574724,331,219,10004579,2018,Geshur,211
גשר,305,GESHER,2,23,231,7,,1,421,419,400,2,1939,330,15,2519972518,-220,202,10004568,2018,Gesher,214
גשר הזיו,574,GESHER HAZIW,2,24,245,4,241,1,1644,1634,1594,10,1949,330,15,2108077155,-16,201,10004302,2018,Gesher HaZiw,212
גת (קיבוץ),340,GAT(QIBBUZ),6,61,611,35,,1,827,827,800,,1941,330,15,1805861511,131,632,10001813,2018,Gat(Qibbuz),420
גת רימון,128,GAT RIMMON,4,42,422,20,132,1,312,312,306,,1926,350,,1888366395,53,417,10002116,2018,Gat Rimmon,
דאלית אל-כרמל,494,DALIYAT AL-KARMEL,3,31,311,99,223,2,17427,45,33,17382,,270,,2050573325,289,356,10004171,2018,Daliyat Al-Karmel,
דבורה,146,DEVORA,2,23,234,8,,1,232,232,227,,1956,310,1,2250571762,66,204,10004394,2018,Devora,213
דבורייה,489,DABURIYYA,2,23,237,99,,2,10402,16,12,10386,,270,,2351373300,110,251,10004394,2018,Daburiyya,213
דבירה,849,DEVIRA,6,62,623,41,341,1,999,996,972,3,1951,330,15,1833659122,290,625,10001937,2018,Devira,620
דברת,407,DAVERAT,2,23,234,9,,1,439,437,412,2,1946,330,15,2330572809,156,254,10004394,2018,Daverat,213
דגניה א',62,DEGANYA ALEF,2,22,221,6,,1,538,537,535,1,1909,330,15,2541873489,-203,214,10004552,2018,Deganya Alef,214
דגניה ב',79,DEGANYA BET,2,22,221,6,,1,655,655,646,,1920,330,15,2542173403,-210,214,10004552,2018,Deganya Bet,214
"דוב""ב",1067,DOVEV,2,24,244,2,,1,487,487,484,,1963,310,1,2383977297,742,209,10004528,2018,Dovev,211
דולב,3747,DOLEV,7,74,,73,,1,1341,1341,1341,,1983,370,11,2127464816,456,711,10004054,2018,Dolev,
דור,738,DOR,3,32,321,15,243,1,433,433,427,,1949,310,1,1928472374,0,303,10004333,2018,Dor,
דורות,336,DOROT,6,61,614,37,,1,822,820,795,2,1941,330,15,1663560173,89,651,10001829,2018,Dorot,620
דחי,475,DAHI,2,23,234,66,,2,691,,,691,,450,,2325872519,366,251,10004394,2018,Dahi,213
דייר אל-אסד,490,DEIR AL-ASAD,2,24,242,99,,2,12348,5,5,12343,,270,,2254176009,264,260,15002358,2018,Deir Al-Asad,210
דייר חנא,492,DEIR HANNA,2,24,241,99,,2,10259,15,,10244,,270,,2348075200,90,262,10004513,2018,Deir Hanna,
דייר ראפאת,493,DEIR RAFAT,1,11,112,26,444,2,94,,,94,,440,,1950863156,240,151,15000597,2018,Deir Rafat,
דימונה,2200,DIMONA,6,62,626,0,,1,34135,33922,30733,213,1955,160,,2033055318,328,607,10001918,2018,Dimona,610
דישון,2063,DISHON,2,21,212,55,,1,351,350,344,1,1953,310,6,2488277637,338,253,10004591,2018,Dishon,211
דלייה,300,DALIYYA,2,23,236,13,,1,801,800,742,1,1939,330,15,2072972171,170,254,10004394,2018,Daliyya,213
דלתון,431,DALTON,2,21,212,2,,1,861,861,861,,1950,310,2,2460576912,702,209,10004528,2018,Dalton,211
דלתון,1709,,2,21,212,2,,,,,,,,520,,2451577021,821,209,10004528,2018,,211
דמיידה,1317,DEMEIDE,2,24,241,56,241,2,510,,,510,,450,,2216374673,150,205,10004513,2018,Demeide,210
דן,303,DAN,2,21,211,1,,1,732,731,711,1,1939,330,15,2612879396,160,253,10004591,2018,Dan,211
דפנה,302,DAFNA,2,21,211,1,,1,965,964,957,1,1939,330,15,2599179280,121,253,10004591,2018,Dafna,211
דקל,1241,DEQEL,6,62,622,38,,1,341,341,333,,1982,310,10,1377356740,90,651,10001893,2018,Deqel,620
"דרום השרון מ""א 18",1881,,4,42,421,18,,,,,,,,530,,,,,,2018,,
"דרום השרון מ""א 20",1882,,4,42,421,20,,,,,,,,530,,1899068100,,,,2018,,
"דרום השרון של""ש",1885,,4,42,421,,,,,,,,,530,,1960067130,,,,2018,,
דרום יהודה,1998,,7,77,,,,,,,,,,530,,,,,,2018,,
דריג'את,1349,DERIG'AT,6,62,623,69,,2,1199,1,,1198,,450,,2072057882,530,624,10001937,2018,Derig'at,610
האון,702,HAON,2,22,221,6,,1,181,181,166,,1949,330,15,2585973681,-210,214,10004552,2018,HaOn,214
הבונים,675,HABONIM,3,32,321,15,243,1,349,349,349,,1949,320,15,1939572700,9,303,10004333,2018,HaBonim,
הגושרים,356,HAGOSHERIM,2,21,211,1,,1,809,809,757,,1948,330,15,2585379177,89,253,10004591,2018,HaGosherim,211
הדר עם,191,HADAR AM,4,41,411,16,141,1,693,693,688,,1933,310,10,1908869507,18,409,15000060,2018,Hadar Am,
הוד השרון,9700,HOD HASHARON,4,42,421,0,131,1,62325,62286,60949,39,1924,150,,1901767323,10,423,10002133,2018,Hod HaSharon,
הודיות,1322,HODAYOT,2,22,222,3,,1,316,316,221,,1959,340,,2410774379,276,206,10004552,2018,Hodayot,214
הודייה,726,HODIYYA,6,61,614,36,,1,535,534,516,1,1949,310,1,1660062041,44,633,10001821,2018,Hodiyya,
הוואשלה (שבט),1169,HAWASHLA,6,62,623,,,3,,,,,,460,,2020055900,,699,10001918,2018,Al-Hawashila,
הוזייל (שבט),956,HUZAYYEL,6,62,623,,,3,,,,,,460,,1762059080,,699,10001946,2018,Al-Huzayyil,
הושעיה,1186,HOSHA'AYA,2,23,237,9,,1,2023,2023,2021,,1981,190,,2276174046,175,254,15002369,2018,Hosha'aya,213
הזורע,250,HAZOREA,2,23,235,13,,1,876,876,832,,1936,330,15,2114872773,49,254,10004394,2018,HaZorea,213
הזורעים,307,HAZORE'IM,2,22,222,3,,1,1035,1035,1035,,1939,310,2,2473873908,-71,206,10004552,2018,HaZore'im,214
החותרים,434,HAHOTERIM,3,32,321,15,223,1,809,809,791,,1948,330,15,1962573976,10,303,10004710,2018,HaHoterim,
היוגב,684,HAYOGEV,2,23,234,9,,1,715,715,709,,1949,310,1,2194972416,67,254,10004394,2018,HaYogev,213
הילה,1208,HILLA,2,24,243,52,,1,578,577,564,1,1980,370,19,2231777125,445,255,10004484,2018,Hilla,212
המעפיל,377,HAMA'PIL,4,41,412,16,141,1,855,855,846,,1945,330,15,1985969829,28,409,15000060,2018,HaMa'pil,
המרכז למחקר-נחל שורק,1751,,4,44,442,,143,,,,,,,520,,1718164583,20,,15002488,2018,,
הסוללים,677,HASOLELIM,2,23,237,9,242,1,927,924,909,3,1949,330,6,2225673956,136,254,10004426,2018,HaSolelim,213
העוגן,423,HAOGEN,4,41,411,16,141,1,908,908,884,,1947,330,15,1930669651,9,409,15000060,2018,HaOgen,
"הערבה מ""א 51",1944,,6,62,625,51,,,,,,,,530,,,,,,2018,,
"הערבה מ""א 53",1945,,6,62,625,53,,,,,,,,530,,2062043180,,,,2018,,
"הערבה מ""א 54",1946,,6,62,625,54,,,,,,,,530,,2159050670,,,,2018,,610
הר אדר,3769,HAR ADAR,7,74,,99,445,1,4056,4053,3965,3,1986,190,,2123263711,727,720,10002475,2018,Har Adar,
"הר אלכסנדר מ""א 14",1869,,3,32,323,14,,,,,,,,530,,2050071490,,,,2018,,
"הר אלכסנדר מ""א 45",1868,,3,32,323,45,,,,,,,,530,,2009071920,,,,2018,,
"הר אלכסנדר של""ש",1870,,3,32,323,,,,,,,,,530,,2105071460,,,,2018,,
הר גילה,3603,HAR GILLO,7,76,,76,445,1,1590,1568,1533,22,1972,370,19,2163962544,835,714,10002521,2018,Har Gillo,
"הר הנגב הדרומי מ""א 48",1953,,6,62,627,48,,,,,,,,530,,1851048010,,,,2018,,610
"הר הנגב הדרומי מ""א 53",1951,,6,62,627,53,,,,,,,,530,,1883044330,,,,2018,,
"הר הנגב הדרומי מ""א 54",1952,,6,62,627,54,,,,,,,,530,,2040048240,,,,2018,,610
"הר הנגב הצפוני מ""א 48",1948,,6,62,626,48,,,,,,,,530,,1728052230,,,,2018,,610
"הר הנגב הצפוני מ""א 51",1949,,6,62,626,51,,,,,,,,530,,2189054410,,,,2018,,
"הר הנגב הצפוני מ""א 53",1947,,6,62,626,53,,,,,,,,530,,1658047710,,,,2018,,
"הר הנגב הצפוני מ""א 54",1950,,6,62,626,54,,,,,,,,530,,2054052480,,,,2018,,610
הר עמשא,1261,HAR AMASA,6,62,623,51,,1,181,176,152,5,1983,330,,2097058352,808,656,10001937,2018,Har Amasa,
הראל,464,HAR'EL,1,11,112,26,444,1,269,269,260,,1948,330,15,1953163517,170,151,15000597,2018,Har'el,
הרדוף,1249,HARDUF,2,23,237,9,242,1,1106,1099,1035,7,1982,330,15,2165274100,170,254,10004497,2018,Harduf,213
"הרי יהודה מ""א 26",1801,,1,11,111,26,,,,,,,,530,,2067063030,,,,2018,,
"הרי יהודה של""ש",1802,,1,11,111,,,,,,,,,530,,,,,,2018,,
הרי נצרת-תירען,1823,,2,23,237,,,,,,,,,530,,2351073910,,,,2018,,
"הרי נצרת-תירען מ""א 9",1839,,2,23,237,9,,,,,,,,530,,2227073890,,,,2018,,213
הרצלייה,6400,HERZLIYYA,5,51,511,0,121,1,95142,94991,90497,151,1924,150,,1845367521,-6,504,10001605,2018,Herzliyya,
הררית,1203,HARARIT,2,24,241,56,,1,510,510,495,,1980,370,7,2346875012,400,205,10004513,2018,Hararit,210
השומרון,1999,,7,71,,,,,,,,,,530,,2235665137,,,,2018,,
ורד יריחו,3639,WERED YERIHO,7,75,,74,,1,317,317,312,,1980,310,10,2411063710,-220,713,10003314,2018,Wered Yeriho,
ורדון,1133,WARDON,6,61,611,35,,1,286,286,279,,1968,350,,1793961911,98,632,10001813,2018,Wardon,420
זבארגה (שבט),2742,ZABARGA,6,62,623,,,3,,,,,,460,,2032057170,435,699,15003711,2018,Az-Zabarika,
זבדיאל,815,ZAVDI'EL,6,61,611,34,,1,527,527,527,,1950,310,8,1773161858,78,631,10001813,2018,Zavdi'el,
זוהר,44,ZOHAR,6,61,612,50,,1,359,359,357,,1956,310,10,1708861156,109,634,10001813,2018,Zohar,
זיקים,584,ZIQIM,6,61,614,36,,1,809,793,757,16,1949,330,15,1546461319,15,633,10001829,2018,Ziqim,
זיתן,788,ZETAN,4,43,432,40,133,1,1081,1081,1078,,1950,310,1,1897765366,8,425,10002261,2018,Zetan,
זכרון יעקב,9300,ZIKHRON YA'AQOV,3,32,322,99,,1,23075,23025,22208,50,1882,160,,1957871961,7,353,10004333,2018,Zikhron Ya'aqov,
זכריה,799,ZEKHARYA,1,11,112,26,,1,1108,1108,1086,,1950,310,1,1948562415,230,151,15000597,2018,Zekharya,
זמר,1290,ZEMER,4,41,412,99,141,2,6940,7,,6933,,280,,2035169685,42,458,10002155,2018,Zemer,
זמרת,1065,ZIMRAT,6,62,621,39,,1,589,588,587,1,1957,310,2,1574959529,115,651,10001930,2018,Zimrat,620
זנוח,816,ZANOAH,1,11,112,26,444,1,506,492,484,14,1950,310,8,2000062667,259,151,15000597,2018,Zanoah,
זרועה,2064,ZERU'A,6,62,621,39,,1,433,432,430,1,1953,310,2,1642959642,121,651,10001930,2018,Zeru'a,620
זרזיר,975,ZARZIR,2,23,237,99,242,2,7942,22,14,7920,,280,,2211273668,137,254,10004411,2018,Zarzir,
זרחיה,818,ZERAHYA,6,61,611,34,,1,719,719,719,,1950,310,2,1759462110,66,631,10001821,2018,Zerahya,
ח'ואלד,1321,KHAWALED,3,31,311,12,222,2,696,,,696,,450,,2131074174,37,301,10004207,2018,Khawaled,
ח'ואלד (שבט),986,KHAWALED,2,25,237,,,3,,,,,,460,,2150174051,,299,10004207,2018,Khawalid / Al-Khawalid,
חבצלת השרון,235,HAVAZZELET HASHARON,4,41,411,16,141,1,492,492,480,,1935,310,10,1872969635,20,409,10002089,2018,Havazzelet HaSharon,
חבר,1110,HEVER,2,23,234,8,,1,571,571,541,,1958,350,,2250871708,70,204,10004394,2018,Hever,213
חגור,717,HAGOR,4,42,421,20,142,1,1156,1156,1140,,1949,310,1,1951767159,30,417,15000658,2018,Hagor,
חגי,3764,HAGGAY,7,77,,78,,1,635,635,635,,1984,370,11,2076160011,820,715,15003512,2018,Haggay,
חגלה,205,HOGLA,4,41,411,16,141,1,857,857,852,,1933,310,1,1932769927,15,409,15000060,2018,Hogla,
חד-נס,4026,HAD-NES,2,29,293,71,,1,823,823,795,,1989,370,9,2604175924,-49,219,10004579,2018,Had-Nes,211
חדיד,618,HADID,4,43,432,25,142,1,887,887,886,,1950,310,2,1936965290,59,424,10002168,2018,Hadid,
חדרה,6500,HADERA,3,32,324,0,,1,95683,94807,88083,876,1890,150,,1925170467,-8,302,10004261,2018,Hadera,
חוג'ייראת (ד'הרה) (שבט),948,HUJEIRAT (DAHRA),2,24,241,56,,3,,,,,,460,,2278574887,,299,10004513,2018,Al-Hujayrat (Zahra),210
חולדה,160,HULDA,4,43,432,30,143,1,1096,1096,1076,,1930,330,15,1889863766,111,426,10002241,2018,Hulda,
חולון,6600,HOLON,5,53,513,0,123,1,194273,193980,178754,293,1940,140,,1792565823,19,505,10001430,2018,Holon,
חולית,1239,HOLIT,6,62,622,38,,1,164,159,152,5,1980,330,15,1357357134,73,651,10001893,2018,Holit,620
חולתה,253,HULATA,2,21,211,1,,1,669,668,652,1,1937,330,15,2573277301,77,253,10004540,2018,Hulata,211
חוסן,662,HOSEN,2,24,243,52,,1,1130,1128,1088,2,1949,310,9,2281476697,450,255,10004484,2018,Hosen,212
חוסנייה,1332,HUSSNIYYA,2,24,242,56,,2,731,5,,726,,450,,2302975617,258,205,10004513,2018,Hussniyya,210
"חוף הכרמל מ""א 15",1864,,3,32,321,15,,,,,,,,530,,1947072760,,,,2018,,
חופית,115,HOFIT,4,41,411,16,141,1,753,753,744,,1955,350,,1883669905,8,409,15000060,2018,Hofit,
חוקוק,374,HUQOQ,2,22,221,6,,1,587,581,551,6,1945,330,15,2466775401,-30,214,10004552,2018,Huqoq,214
חורה,1303,HURA,6,62,623,99,342,2,21558,18,14,21540,,260,,1938957840,370,652,10001937,2018,Hura,610
חורפיש,496,HURFEISH,2,24,244,99,,2,6315,1,,6314,,280,,2326876916,529,258,10004484,2018,Hurfeish,212
חורשים,355,HORESHIM,4,42,421,20,142,1,330,325,313,5,1955,330,15,1974467160,58,417,15000658,2018,Horeshim,
חזון,1047,HAZON,2,21,214,2,,1,324,324,324,,1969,310,2,2372775686,390,209,10004465,2018,Hazon,211
חיבת ציון,219,HIBBAT ZIYYON,4,41,411,16,141,1,709,709,708,,1933,310,7,1919970042,20,409,15000060,2018,Hibbat Ziyyon,
חיננית,3643,HINNANIT,7,71,,72,,1,1323,1323,1159,,1981,370,13,2159770969,330,710,10003262,2018,Hinnanit,
חיפה,4000,HAIFA,3,31,311,0,210,4,283640,250943,217360,32697,ותיק,130,,2011274545,-17,304,10004171,2018,Haifa,
חירות,162,HERUT,4,41,411,18,141,1,1309,1303,1296,6,1930,310,1,1921568301,41,412,15000060,2018,Herut,
חלוץ,1272,HALUZ,2,24,243,56,,1,516,516,510,,1985,370,13,2295276173,685,205,15002358,2018,Haluz,210
חלץ,820,HELEZ,6,61,614,36,,1,445,441,440,4,1950,310,1,1676360965,69,633,10001829,2018,Helez,
חמאם,993,HAMAM,2,22,221,65,,2,1473,4,4,1469,,450,,2461874838,-174,251,10004552,2018,Hamam,214
חמד,801,HEMED,4,43,432,40,133,1,1257,1257,1253,,1950,310,2,1851165842,20,425,10002207,2018,Hemed,
חמדיה,343,HAMADYA,2,23,231,7,,1,364,362,356,2,1942,330,15,2490971407,-184,202,10004568,2018,Hamadya,214
חמדת,3646,HEMDAT,7,75,,75,,1,278,278,278,,1980,370,11,2497768423,110,712,10003262,2018,Hemdat,
חמרה,3609,HAMRA,7,75,,75,,1,175,175,167,,1971,310,10,2412967837,-81,712,10003262,2018,Hamra,
חניאל,807,HANNI'EL,4,41,411,16,141,1,933,933,911,,1950,310,1,1954169328,28,409,15000060,2018,Hanni'el,
חניתה,280,HANITA,2,24,244,4,,1,761,760,731,1,1938,330,15,2166577698,259,201,10004302,2018,Hanita,212
חנתון,1257,HANNATON,2,23,237,9,241,1,963,962,953,1,1984,330,15,2232574324,154,254,10004497,2018,Hannaton,213
חספין,4005,HASPIN,2,29,294,71,,1,2057,2057,2055,,1973,190,,2746275023,410,219,10004579,2018,Haspin,211
חפץ חיים,363,HAFEZ HAYYIM,4,44,441,31,143,1,561,561,561,,1944,330,8,1811563304,70,456,15002488,2018,Hafez Hayyim,420
חפצי-בה,90,HEFZI-BAH,2,23,232,8,,1,741,741,715,,1922,330,15,2402171382,-89,204,10004568,2018,Hefzi-Bah,213
חצב,700,HAZAV,6,61,611,33,143,1,1467,1467,1445,,1949,310,1,1782763212,50,616,10001821,2018,Hazav,420
חצבה,13,HAZEVA,6,62,625,54,,1,605,595,561,10,1965,310,1,2266751974,-160,657,10001918,2018,Hazeva,610
חצור-אשדוד,406,HAZOR-ASHDOD,6,61,611,33,143,1,624,624,600,,1937,330,15,1735963120,32,616,10001821,2018,Hazor-Ashdod,420
חצור הגלילית,2034,HAZOR HAGELILIT,2,21,213,99,,1,9165,9130,8906,35,1953,180,,2511676532,279,259,10004540,2018,Hazor HaGelilit,211
חצרים,397,HAZERIM,6,62,623,41,344,1,832,832,815,,1946,330,15,1726957221,237,625,10001900,2018,Hazerim,620
חרב לאת,422,HEREV LE'ET,4,41,411,16,141,1,945,945,926,,1947,310,10,1924070091,20,409,15000060,2018,Herev Le'Et,
חרוצים,1024,HARUZIM,4,41,411,19,141,1,866,866,859,,1951,350,,1874468161,39,401,15000060,2018,Haruzim,
חריש,1247,HARISH,3,32,323,99,,1,7569,7447,6940,122,1982,180,,2044270746,59,307,10004233,2018,Harish,
"חרמון מ""א 71",1960,,2,29,291,71,,,,,,,,530,,2685079910,,,,2018,,211
חרמש,3717,HERMESH,7,71,,72,,1,228,228,204,,1982,370,9,2114170327,226,710,10003262,2018,Hermesh,
חרשים,1209,HARASHIM,2,24,243,56,,1,329,329,308,,1980,370,19,2310076241,780,205,10004465,2018,Harashim,210
חשמונאים,3770,HASHMONA'IM,7,74,,73,,1,2760,2760,2753,,1985,190,,2023664873,228,711,10004054,2018,Hashmona'im,
טבריה,6700,TIBERIAS,2,22,221,0,,1,44234,43556,40848,678,ותיק,160,,2494274369,-227,207,10004552,2018,Tiberias,214
טובא-זנגרייה,962,TUBA-ZANGARIYYE,2,21,213,99,,2,6667,7,3,6660,,280,,2556376342,240,259,10004540,2018,Tuba-Zangariyye,211
טורעאן,498,TUR'AN,2,25,237,99,,2,14036,6,4,14030,,270,,2354874243,179,251,15002369,2018,Tur'an,214
טייבה,2730,TAYIBE,4,41,412,0,141,2,43127,57,29,43070,,260,,2008068569,39,402,10002155,2018,Tayibe,410
טייבה (בעמק),497,TAYIBE(BAEMEQ),2,23,233,8,,2,1843,5,5,1838,,450,,2420372335,60,204,10004394,2018,Tayibe(Baemeq),213
טירה,2720,TIRE,4,41,412,0,141,2,26162,69,22,26093,,260,,1958168225,45,403,10002155,2018,Tire,
טירת יהודה,663,TIRAT YEHUDA,4,42,422,25,142,1,1189,1189,1188,,1949,310,2,1938865787,50,424,10002168,2018,Tirat Yehuda,
טירת כרמל,2100,TIRAT KARMEL,3,31,311,0,223,1,22210,22121,21126,89,1949,160,,1976774079,-1,355,10004710,2018,Tirat Karmel,
טירת צבי,268,TIRAT ZEVI,2,23,231,7,,1,904,904,904,,1937,330,3,2499570302,-229,202,10004568,2018,Tirat Zevi,214
טל-אל,1181,TAL-EL,2,24,243,56,241,1,1174,1174,1140,,1980,370,13,2169975908,70,205,10004315,2018,Tal-El,210
טל שחר,462,TAL SHAHAR,1,11,112,26,,1,1366,1366,1347,,1948,310,1,1908763474,100,151,15000597,2018,Tal Shahar,
טללים,1177,TELALIM,6,62,626,48,,1,509,509,493,,1980,330,15,1779654464,350,620,10001918,2018,Telalim,610
טלמון,3788,TALMON,7,74,,73,,1,4349,4349,4346,,1989,190,,2128164953,446,711,10004054,2018,Talmon,
טמרה,8900,TAMRA,2,24,241,0,241,2,33851,39,18,33812,,260,,2180675104,10,263,15002411,2018,Tamra,
טמרה (יזרעאל),547,TAMRA (YIZRE'EL),2,23,233,8,,2,1578,,,1578,,450,,2381772670,160,204,10004394,2018,Tamra (Yizre'el),213
טנא,3743,TENE,7,77,,78,,1,848,848,838,,1983,370,11,1959158706,498,715,15003512,2018,Tene,
טפחות,1214,TEFAHOT,2,21,214,2,,1,484,484,484,,1980,310,2,2398375265,45,209,10004552,2018,Tefahot,211
יאנוח-ג'ת,1295,YANUH-JAT,2,24,243,99,,2,6614,2,2,6612,,280,,2232776506,159,255,10004484,2018,Yanuh-Jat,
יבול,1232,YEVUL,6,62,622,38,,1,340,340,338,,1981,310,10,1347956688,80,651,10001893,2018,Yevul,620
יבנאל,46,YAVNE'EL,2,22,222,99,,1,4294,4293,4235,1,1901,190,,2477973510,-127,251,10004552,2018,Yavne'el,
יבנה,2660,YAVNE,4,44,441,0,143,1,46705,46642,45412,63,1949,160,,1752064277,20,404,15002488,2018,Yavne,
יגור,96,YAGUR,3,31,311,12,223,1,1604,1604,1501,,1922,330,15,2075573859,7,301,10004207,2018,Yagur,
יגל,798,YAGEL,4,43,432,40,133,1,929,929,927,,1950,310,1,1887165509,35,425,10002261,2018,Yagel,
יד בנימין,577,YAD BINYAMIN,4,44,441,31,143,1,4175,4175,4172,,1949,190,,1832563395,60,456,15002488,2018,Yad Binyamin,420
יד השמונה,1134,YAD HASHEMONA,1,11,111,26,444,1,303,303,139,,1978,320,10,2085863523,641,151,10002475,2018,Yad HaShemona,
יד חנה,758,YAD HANNA,4,41,412,16,141,1,926,924,903,2,1950,330,15,2007869249,45,409,10002155,2018,Yad Hanna,
יד מרדכי,358,YAD MORDEKHAY,6,61,614,36,,1,767,766,737,1,1943,330,15,1581461092,33,633,10001829,2018,Yad Mordekhay,
יד נתן,775,YAD NATAN,6,61,612,50,,1,638,637,630,1,1953,310,6,1721361789,70,634,10001813,2018,Yad Natan,
"יד רמב""ם",64,YAD RAMBAM,4,43,432,30,143,1,1094,1094,1071,,1955,310,2,1907264528,70,426,10002228,2018,Yad Rambam,
ידידה,1144,YEDIDA,1,11,111,26,444,1,212,212,210,,1964,340,,2100963561,716,151,10002475,2018,Yedida,
יהוד,9400,YEHUD,4,42,422,0,132,1,29930,29892,29368,38,1948,160,,1893966002,30,411,10001516,2018,Yehud,
יהל,1158,YAHEL,6,62,625,53,,1,194,194,181,,1976,330,15,2121044377,183,608,10001955,2018,Yahel,
יובל,2009,YUVAL,2,21,211,55,,1,625,624,622,1,1952,310,1,2561279464,175,253,10004591,2018,Yuval,211
יובלים,1226,YUVALLIM,2,24,241,56,241,1,1105,1105,1097,,1982,370,7,2256375376,50,205,10004513,2018,Yuvallim,210
יודפת,1112,YODEFAT,2,24,241,56,241,1,867,866,829,1,1960,320,15,2257674912,363,205,10004513,2018,Yodefat,210
יונתן,4007,YONATAN,2,29,293,71,,1,705,705,705,,1976,320,2,2746276049,529,219,10004579,2018,Yonatan,211
יושיביה,803,YOSHIVYA,6,62,621,39,,1,667,666,665,1,1950,310,2,1628759479,120,651,10001930,2018,Yoshivya,620
יזרעאל,452,YIZRE'EL,2,23,234,8,,1,556,556,535,,1948,330,15,2304071866,58,204,10004394,2018,Yizre'el,213
יחיעם,409,YEHI'AM,2,24,243,4,,1,716,715,697,1,1946,330,15,2209876686,319,201,10004302,2018,Yehi'am,212
יטבתה,866,YOTVATA,6,62,625,53,,1,696,696,677,,1951,330,15,2055542290,74,608,10001955,2018,Yotvata,
"ייט""ב",3607,YITAV,7,75,,75,,1,348,348,325,,1970,320,15,2401765051,-130,712,10003262,2018,Yitav,
יכיני,811,YAKHINI,6,61,614,37,,1,717,716,710,1,1950,310,1,1619959912,114,651,10001829,2018,Yakhini,620
ים המלח - בתי מלון,1772,,6,62,624,51,,,,,,,,520,,2345056749,-391,656,10001911,2018,,
ינוב,753,YANUV,4,41,411,18,141,1,933,933,920,,1950,310,1,1954569033,39,412,15000060,2018,Yanuv,
ינון,2011,YINNON,6,61,611,33,143,1,1176,1172,1172,4,1952,310,1,1793762785,60,616,10001821,2018,Yinnon,420
יסוד המעלה,29,YESUD HAMA'ALA,2,21,211,99,,1,1719,1719,1681,,1883,350,,2566377358,69,259,10004540,2018,Yesud HaMa'ala,211
יסודות,440,YESODOT,4,44,441,31,143,1,913,913,913,,1948,320,8,1873363588,87,456,15002488,2018,Yesodot,420
יסעור,575,YAS'UR,2,24,246,4,241,1,856,851,836,5,1949,330,15,2158575622,16,201,10004315,2018,Yas'ur,212
